generic_name,brand_name,condition,approved_use,drug_class,formulations,routes,common_adverse_effects,warnings,off_label_uses,source_summary,last_verified
selegiline,Eldepryl,Parkinson's disease,Adjunct in the management of patients with Parkinson's disease receiving levodopa/carbidopa who exhibit deterioration in the quality of their response to therapy,MAO-B inhibitor,Tablet; capsule,Oral,Nausea; dizziness or light-headedness; abdominal pain; confusion,Serotonin syndrome with serotonergic drugs; hypertensive reactions with sympathomimetic agents or excessive tyramine exposure; orthostatic hypotension; hallucinations or confusion; loss of selective MAO-B inhibition at higher doses may increase risks associated with nonselective MAO inhibition,No evidence-supported off-label use identified for this dataset,FDA/DailyMed selegiline labeling; verified 2026-09-08,2026-09-08
entacapone,Comtan,Parkinson's disease,Adjunct to levodopa and carbidopa for treatment of end-of-dose wearing-off in patients with Parkinson's disease,COMT inhibitor,Film-coated tablet,Oral,Dyskinesia; urine discoloration; diarrhea; nausea; hyperkinesia; abdominal pain; vomiting; dry mouth,Sudden onset of sleep and somnolence during activities of daily living; hypotension or syncope; dyskinesia; hallucinations or psychotic-like behavior; impulse-control or compulsive behaviors; diarrhea or colitis; potentially serious interactions with nonselective MAO inhibitors and drugs metabolized by COMT,No evidence-supported off-label use identified for this dataset,FDA/DailyMed entacapone labeling; verified 2026-09-08,2026-09-08
amantadine,Gocovri,Parkinson's disease,Treatment of dyskinesia in patients receiving levodopa-based therapy; adjunctive treatment to levodopa/carbidopa in patients experiencing off episodes,NMDA receptor antagonist,Extended-release capsule,Oral,Hallucinations; dizziness; dry mouth; peripheral edema; constipation; falls; orthostatic hypotension,Falling asleep during activities of daily living and somnolence; suicidality and depression; hallucinations or psychotic behavior; dizziness and orthostatic hypotension; withdrawal-emergent hyperpyrexia and confusion; corneal edema; impulse-control or compulsive behaviors,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Gocovri prescribing information; verified 2026-09-08,2026-09-08
riluzole,Rilutek,Amyotrophic lateral sclerosis,Treatment of amyotrophic lateral sclerosis (ALS),Glutamate modulator,Film-coated tablet,Oral,Asthenia; nausea; dizziness; decreased lung function; abdominal pain,Hepatic injury including drug-induced liver injury; neutropenia; interstitial lung disease,No evidence-supported off-label use identified for this dataset,FDA/DailyMed riluzole labeling; verified 2026-09-08,2026-09-08
edaravone,Radicava; Radicava ORS,Amyotrophic lateral sclerosis,Treatment of amyotrophic lateral sclerosis (ALS),Free-radical scavenger,Injection solution; oral suspension,Intravenous; oral or feeding tube,Contusion; gait disturbance; headache; fatigue,"Hypersensitivity reactions including anaphylaxis; sulfite allergic reactions, including potentially serious reactions in susceptible patients",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Radicava and Radicava ORS prescribing information; verified 2026-09-08,2026-09-08
tofersen,Qalsody,Amyotrophic lateral sclerosis,Treatment of amyotrophic lateral sclerosis (ALS) in adults who have a mutation in the superoxide dismutase 1 (SOD1) gene,Antisense oligonucleotide,Injection solution,Intrathecal,Pain; fatigue; arthralgia; increased cerebrospinal fluid white blood cells; myalgia,Myelitis and/or radiculitis; papilledema and elevated intracranial pressure; aseptic meningitis,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Qalsody prescribing information; verified 2026-09-08,2026-09-08
interferon beta-1a,Avonex,Multiple sclerosis,"Treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease",Interferon beta,Injection solution,Intramuscular,Chills; fever; myalgia; asthenia,"Depression, suicidal ideation, and other psychiatric effects; hepatic injury; anaphylaxis and other allergic reactions; decreased peripheral blood counts; thrombotic microangiopathy; seizures; congestive heart failure and cardiomyopathy",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Avonex prescribing information; verified 2026-09-08,2026-09-08
glatiramer acetate,Copaxone,Multiple sclerosis,"Treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease",Immunomodulator,Injection solution in prefilled syringe,Subcutaneous,Injection-site reactions; vasodilation; rash; dyspnea; chest pain,Boxed warning: life-threatening or fatal anaphylactic reactions; immediate post-injection reactions; chest pain; lipoatrophy and skin necrosis; hepatic injury; potential effects on immune response,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Copaxone prescribing information; verified 2026-09-08,2026-09-08
dimethyl fumarate,Tecfidera,Multiple sclerosis,"Treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease",Fumarate derivative,Delayed-release capsule,Oral,Flushing; abdominal pain; diarrhea; nausea,Anaphylaxis and angioedema; progressive multifocal leukoencephalopathy (PML); herpes zoster and other serious opportunistic infections; lymphopenia; liver injury; serious gastrointestinal reactions,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Tecfidera prescribing information; verified 2026-09-08,2026-09-08
fingolimod,Gilenya,Multiple sclerosis,"Treatment of relapsing forms of multiple sclerosis, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in patients 10 years of age and older",Sphingosine 1-phosphate receptor modulator,Capsule,Oral,Headache; liver transaminase elevation; diarrhea; cough; influenza; sinusitis; back pain; abdominal pain; pain in extremity,Bradyarrhythmia and atrioventricular conduction delays after first dose; serious infections; progressive multifocal leukoencephalopathy (PML); macular edema; liver injury; posterior reversible encephalopathy syndrome (PRES); respiratory effects; fetal risk; severe increase in disability after discontinuation,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Gilenya prescribing information; verified 2026-09-08,2026-09-08
ocrelizumab,Ocrevus,Multiple sclerosis,Treatment of relapsing forms of multiple sclerosis and primary progressive multiple sclerosis in adults; treatment of relapsing-remitting multiple sclerosis in pediatric patients 10 years of age and older who weigh 25 kg or more,CD20-directed cytolytic antibody,Injection solution,Intravenous,Upper respiratory tract infections; infusion reactions; skin infections; lower respiratory tract infections,Infusion reactions; serious infections including hepatitis B virus reactivation; progressive multifocal leukoencephalopathy (PML); reduction in immunoglobulins; malignancy risk; immune-mediated colitis; liver injury,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Ocrevus prescribing information; verified 2026-09-08,2026-09-08
natalizumab,Tysabri,Multiple sclerosis,"Monotherapy for treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease",Integrin receptor antagonist,Injection solution,Intravenous,Headache; fatigue; arthralgia; urinary tract infection; lower respiratory tract infection; gastroenteritis; depression; pain in extremity; abdominal discomfort; diarrhea; rash,"Boxed warning: progressive multifocal leukoencephalopathy (PML); herpes encephalitis, meningitis, and acute retinal necrosis; hepatotoxicity; hypersensitivity reactions; other serious infections",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Tysabri prescribing information; verified 2026-09-08,2026-09-08
ofatumumab,Kesimpta,Multiple sclerosis,"Treatment of relapsing forms of multiple sclerosis in adults, including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease",CD20-directed cytolytic antibody,Injection solution in prefilled pen or prefilled syringe,Subcutaneous,Upper respiratory tract infection; headache; injection-related reactions; local injection-site reactions,Serious infections including hepatitis B virus reactivation; injection-related and hypersensitivity reactions; reduction in immunoglobulins; clinically significant liver injury; fetal risk,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Kesimpta prescribing information; verified 2026-09-08,2026-09-08
levetiracetam,Keppra,Epilepsy,Treatment of partial-onset seizures in patients 1 month of age and older; adjunctive therapy for myoclonic seizures in patients 12 years and older with juvenile myoclonic epilepsy and primary generalized tonic-clonic seizures in patients 6 years and older with idiopathic generalized epilepsy,Antiseizure medication,Film-coated tablet; oral solution,Oral,Somnolence; asthenia; infection; dizziness,Behavioral abnormalities and psychotic symptoms; suicidal behavior and ideation; somnolence and fatigue; anaphylaxis and angioedema; serious dermatologic reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis; coordination difficulties; hematologic abnormalities; increased seizure risk with abrupt withdrawal,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Keppra prescribing information; verified 2026-09-08,2026-09-08
lamotrigine,Lamictal,Epilepsy,"Adjunctive therapy for partial-onset seizures, primary generalized tonic-clonic seizures, and generalized seizures of Lennox-Gastaut syndrome in patients 2 years of age and older; conversion to monotherapy for partial-onset seizures in specified patients 16 years of age and older",Antiseizure medication,Tablet; tablet for oral suspension; orally disintegrating tablet,Oral,Dizziness; headache; diplopia; ataxia; nausea; blurred vision; somnolence; rhinitis; rash,Boxed warning: serious skin rashes including Stevens-Johnson syndrome and toxic epidermal necrolysis; DRESS and multiorgan hypersensitivity; hemophagocytic lymphohistiocytosis (HLH); blood dyscrasias; suicidal behavior and ideation; aseptic meningitis; cardiac rhythm and conduction abnormalities in susceptible patients,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Lamictal prescribing information; verified 2026-09-08,2026-09-08
valproic acid,Generic,Epilepsy,Monotherapy and adjunctive therapy for complex partial seizures; sole and adjunctive therapy for simple and complex absence seizures; adjunctive therapy for multiple seizure types that include absence seizures,Antiseizure medication,Liquid-filled capsule,Oral,Nausea; vomiting; abdominal pain; somnolence; dizziness; tremor; weight gain; alopecia,"Boxed warning: potentially fatal hepatotoxicity, fetal risk including major congenital malformations and neurodevelopmental effects, and potentially fatal pancreatitis; hyperammonemia and hyperammonemic encephalopathy; bleeding and hematopoietic disorders; suicidal behavior and ideation; DRESS and multiorgan hypersensitivity",No evidence-supported off-label use identified for this dataset,FDA/DailyMed valproic acid prescribing information; verified 2026-09-08,2026-09-08
carbamazepine,Tegretol,Epilepsy,"Treatment of partial seizures with complex symptomatology, generalized tonic-clonic seizures, and mixed seizure patterns that include partial or generalized seizures",Antiseizure medication,Tablet; oral suspension; extended-release tablet,Oral,Dizziness; drowsiness; unsteadiness; nausea; vomiting,"Boxed warning: serious and potentially fatal dermatologic reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis, with increased risk associated with HLA-B*15:02 in genetically at-risk populations; boxed warning: aplastic anemia and agranulocytosis; DRESS and multiorgan hypersensitivity","Bipolar disorder, particularly acute manic or mixed episodes (not FDA-approved for this use)",FDA/DailyMed Tegretol prescribing information; verified 2026-09-08,2026-09-08
lacosamide,Vimpat,Epilepsy,Treatment of partial-onset seizures in patients 1 month of age and older; adjunctive therapy for primary generalized tonic-clonic seizures in patients 4 years of age and older,Antiseizure medication,Film-coated tablet; oral solution; injection solution,Oral; intravenous,Diplopia; headache; dizziness; nausea; somnolence,"Suicidal behavior and ideation; dizziness and ataxia; cardiac rhythm and conduction abnormalities including PR prolongation, atrioventricular block, and ventricular tachyarrhythmias; syncope; increased seizure risk with abrupt withdrawal; DRESS and multiorgan hypersensitivity","Status epilepticus, including refractory status epilepticus (not FDA-approved for this use)",FDA/DailyMed Vimpat prescribing information; verified 2026-09-08,2026-09-08
brivaracetam,Briviact,Epilepsy,Treatment of partial-onset seizures in patients 1 month of age and older,Antiseizure medication,Film-coated tablet; oral solution; injection solution,Oral; intravenous,Somnolence or sedation; dizziness; fatigue; nausea or vomiting,"Suicidal behavior and ideation; somnolence and fatigue; psychiatric and behavioral reactions including psychotic symptoms, irritability, depression, aggression, and anxiety; hypersensitivity including bronchospasm and angioedema; serious dermatologic reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis; increased seizure frequency or status epilepticus with abrupt withdrawal","Status epilepticus, including refractory status epilepticus (not FDA-approved for this use)",FDA/DailyMed Briviact prescribing information; verified 2026-09-08,2026-09-08
topiramate,Topamax,Epilepsy,"Initial monotherapy for partial-onset or primary generalized tonic-clonic seizures in patients 2 years of age and older; adjunctive therapy for partial-onset seizures, primary generalized tonic-clonic seizures, or seizures associated with Lennox-Gastaut syndrome in patients 2 years of age and older",Antiseizure medication,Tablet; sprinkle capsule,Oral,Paresthesia; decreased appetite; weight loss; fatigue; dizziness; somnolence; psychomotor slowing; memory or concentration difficulties,Acute myopia and secondary angle-closure glaucoma; visual field defects; oligohidrosis and hyperthermia; metabolic acidosis; suicidal behavior and ideation; cognitive and neuropsychiatric effects; fetal toxicity; DRESS and multiorgan hypersensitivity; serious skin reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis; hyperammonemia and encephalopathy; kidney stones,Essential tremor (not FDA-approved for this use),FDA/DailyMed Topamax prescribing information; verified 2026-09-08,2026-09-08
sumatriptan,Imitrex,Migraine,Acute treatment of migraine with or without aura in adults,Triptan,Film-coated tablet; nasal spray; injection solution,Oral; intranasal; subcutaneous,Paresthesia; warm or cold sensation; sensations of pressure or tightness; vertigo; malaise or fatigue,"Myocardial ischemia or infarction and coronary vasospasm; cardiac arrhythmias; chest, throat, neck, or jaw pressure sensations; cerebrovascular events; other vasospasm reactions; medication-overuse headache; serotonin syndrome; significant blood pressure elevation including hypertensive crisis; seizures",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Imitrex prescribing information; verified 2026-09-08,2026-09-08
rizatriptan,Maxalt; Maxalt-MLT,Migraine,Acute treatment of migraine with or without aura in adults and pediatric patients 6 to 17 years of age,Triptan,Tablet; orally disintegrating tablet,Oral,Asthenia or fatigue; somnolence; pain or pressure sensations; dizziness,Myocardial ischemia or infarction and coronary vasospasm; cardiac arrhythmias; cerebrovascular events including cerebral hemorrhage and stroke; gastrointestinal ischemia and peripheral vasospastic reactions; medication-overuse headache; serotonin syndrome; significant blood pressure elevation including hypertensive crisis,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Maxalt and Maxalt-MLT prescribing information; verified 2026-09-08,2026-09-08
ubrogepant,Ubrelvy,Migraine,Acute treatment of migraine with or without aura in adults,CGRP receptor antagonist,Tablet,Oral,Nausea; somnolence,"Hypersensitivity reactions including anaphylaxis, dyspnea, and facial or throat edema; new-onset or worsening hypertension; Raynaud's phenomenon",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Ubrelvy prescribing information; verified 2026-09-08,2026-09-08
rimegepant,Nurtec ODT,Migraine,Acute treatment of migraine with or without aura in adults; preventive treatment of episodic migraine in adults,CGRP receptor antagonist,Orally disintegrating tablet,Oral; sublingual,Nausea; abdominal pain or dyspepsia,"Serious hypersensitivity reactions including anaphylaxis, dyspnea, and rash, which may be delayed; new-onset or worsening hypertension; new-onset or worsening Raynaud's phenomenon",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Nurtec ODT prescribing information; verified 2026-09-08,2026-09-08
erenumab-aooe,Aimovig,Migraine,Preventive treatment of migraine in adults,CGRP receptor-targeting monoclonal antibody,Injection solution in prefilled autoinjector or prefilled syringe,Subcutaneous,Injection-site reactions; constipation,"Serious hypersensitivity reactions; constipation with serious complications, including cases requiring hospitalization or surgery; new-onset or worsening hypertension; new-onset or worsening Raynaud's phenomenon",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Aimovig prescribing information; verified 2026-09-08,2026-09-08
fremanezumab-vfrm,Ajovy,Migraine,Preventive treatment of migraine in adults; preventive treatment of episodic migraine in pediatric patients 6 to 17 years of age who weigh 45 kg or more,CGRP ligand-targeting monoclonal antibody,Injection solution in prefilled autoinjector or prefilled syringe,Subcutaneous,Injection-site reactions,"Hypersensitivity reactions including anaphylaxis and angioedema; constipation with serious complications, including cases requiring hospitalization or surgery; new-onset or worsening hypertension; new-onset or worsening Raynaud's phenomenon",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Ajovy prescribing information; verified 2026-09-08,2026-09-08
galcanezumab-gnlm,Emgality,Migraine,Preventive treatment of migraine in adults; treatment of episodic cluster headache in adults,CGRP ligand-targeting monoclonal antibody,Injection solution in prefilled pen or prefilled syringe,Subcutaneous,Injection-site reactions,Hypersensitivity reactions including anaphylaxis and angioedema; constipation with serious complications; new-onset or worsening hypertension; new-onset or worsening Raynaud's phenomenon,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Emgality prescribing information; verified 2026-09-08,2026-09-08
pyridostigmine,Mestinon,Myasthenia gravis,Treatment of myasthenia gravis,Acetylcholinesterase inhibitor,Tablet; oral solution; extended-release tablet,Oral,Nausea; vomiting; diarrhea; abdominal cramps; increased salivation; sweating; muscle cramps or fasciculations,"Overdosage may cause cholinergic crisis with increasing muscle weakness and potentially fatal respiratory muscle involvement; cholinergic crisis may be difficult to distinguish from myasthenic crisis, and increasing the pyridostigmine dose during cholinergic crisis may have serious consequences",Orthostatic hypotension (not FDA-approved for this use),FDA/DailyMed Mestinon and pyridostigmine prescribing information; verified 2026-09-08,2026-09-08
eculizumab,Soliris,Myasthenia gravis,Treatment of generalized myasthenia gravis in adult and pediatric patients 6 years of age and older who are anti-acetylcholine receptor (AChR) antibody positive,Complement inhibitor monoclonal antibody,Injection solution concentrate,Intravenous,Musculoskeletal pain; abdominal pain; peripheral edema; pyrexia; herpes simplex virus infections; contusion,Boxed warning: serious and life-threatening meningococcal infections; risk of invasive meningococcal disease persists despite vaccination; other serious systemic infections; infusion-related reactions,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Soliris prescribing information; verified 2026-09-08,2026-09-08
efgartigimod alfa-fcab,Vyvgart,Myasthenia gravis,Treatment of generalized myasthenia gravis (gMG) in adult patients,Neonatal Fc receptor (FcRn) blocker,Injection solution,Intravenous,Respiratory tract infections; headache; urinary tract infection,"Increased risk of infection; hypersensitivity reactions including anaphylaxis, angioedema, dyspnea, and hypotension leading to syncope; infusion-related reactions including hypertension, chills, shivering, and thoracic, abdominal, or back pain",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Vyvgart prescribing information; verified 2026-09-08,2026-09-08
tetrabenazine,Xenazine,Huntington's disease,Treatment of chorea associated with Huntington's disease,VMAT2 inhibitor,Tablet,Oral,Sedation or somnolence; fatigue; insomnia; depression; akathisia; anxiety; nausea,"Boxed warning: depression and suicidal thoughts and behavior in patients with Huntington's disease; clinical worsening of Huntington's disease; neuroleptic malignant syndrome; restlessness, agitation, and akathisia; parkinsonism; sedation and somnolence; QTc prolongation",Tardive dyskinesia (not FDA-approved for this use),FDA/DailyMed tetrabenazine and Xenazine prescribing information; verified 2026-09-08,2026-09-08
deutetrabenazine,Austedo; Austedo XR,Huntington's disease,Treatment of chorea associated with Huntington's disease in adults; treatment of tardive dyskinesia in adults,VMAT2 inhibitor,Tablet; extended-release tablet,Oral,Somnolence; diarrhea; dry mouth; fatigue; urinary tract infection; insomnia,"Boxed warning: depression and suicidal thoughts and behavior in patients with Huntington's disease; clinical worsening of Huntington's disease; QTc prolongation; neuroleptic malignant syndrome; akathisia, agitation, and restlessness; parkinsonism; sedation and somnolence",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Austedo and Austedo XR prescribing information; verified 2026-09-08,2026-09-08
nusinersen,Spinraza,Spinal muscular atrophy,Treatment of spinal muscular atrophy (SMA) in pediatric and adult patients,SMN2-directed antisense oligonucleotide,Injection solution,Intrathecal,Lower respiratory infection; constipation; pyrexia; headache; vomiting; back pain,Thrombocytopenia and coagulation abnormalities with increased risk of bleeding complications; renal toxicity including potentially fatal glomerulonephritis,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Spinraza prescribing information; verified 2026-09-08,2026-09-08
risdiplam,Evrysdi,Spinal muscular atrophy,Treatment of spinal muscular atrophy (SMA) in pediatric and adult patients,SMN2 splicing modifier,Powder for oral solution; tablet,Oral,Fever; diarrhea; rash; upper respiratory tract infection; lower respiratory tract infection; constipation; vomiting; cough,No specific Warnings and Precautions listed in current FDA labeling; reproductive risk information includes potential fetal harm and possible effects on male fertility,No evidence-supported off-label use identified for this dataset,FDA/DailyMed Evrysdi prescribing information; verified 2026-09-08,2026-09-08
onasemnogene abeparvovec-xioi,Zolgensma,Spinal muscular atrophy,Treatment of pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene,AAV9 vector-based gene therapy,Intravenous suspension,Intravenous,Elevated aminotransferases; vomiting,"Boxed warning: serious liver injury and acute liver failure, including fatal cases; systemic immune response; thrombocytopenia; thrombotic microangiopathy; elevated cardiac troponin I; theoretical risk of tumorigenicity from AAV vector integration; infusion-related reactions",No evidence-supported off-label use identified for this dataset,FDA Zolgensma prescribing information; verified 2026-09-08,2026-09-08
onasemnogene abeparvovec-brve,Itvisma,Spinal muscular atrophy,Treatment of spinal muscular atrophy (SMA) in adult and pediatric patients 2 years of age and older with confirmed mutation in the survival motor neuron 1 (SMN1) gene,AAV9 vector-based gene therapy,Injection suspension,Intrathecal,Upper respiratory tract infection; upper gastrointestinal symptoms; pyrexia; headache,"Boxed warning: serious liver injury and elevated aminotransferases; thrombocytopenia; peripheral sensory neuropathy; thrombotic microangiopathy, which can be life-threatening or fatal; elevated cardiac troponin I; theoretical risk of tumorigenicity from AAV vector integration",No evidence-supported off-label use identified for this dataset,FDA/DailyMed Itvisma prescribing information; verified 2026-09-08,2026-09-08
